line Motor1 Motor2 Motor3 Motor4 anglePITCH angleROLL clientPITCH clientROLL clientYAW inputPidPITCH inputPidROLL inputPidYAW outputPidPITCH outputPidROLL outputPidYAW Battery 
61 1051 1050 1059 1079 -1 -4 9146 19000 0 -2135 -1232 -1194 -11438 -19320 -1167 71  
62 1168 1052 1104 1055 -3 0 14066 1766 0 -4164 -111 -27179 -27990 6044 -82885 71  
63 1354 1050 1289 1050 -7 3 36812 -17206 0 -22773 -31570 -79970 -66005 -33420 -272495 71  
64 1095 1050 1210 1139 -13 -16 66012 78906 0 10591 -20143 -13412 -56565 -119745 -97410 71  
65 1056 1062 1077 1213 -11 -23 55866 113259 0 -11718 14747 25946 -61063 -79087 23968 71  
66 1050 1362 1050 1225 -3 -9 16366 43593 0 26388 43244 89111 34077 34253 244570 71  
67 1062 1147 1058 1104 1 6 -6439 -30746 0 5922 1923 18379 -4535 13064 63223 71  
68 1114 1050 1121 1078 -2 0 9799 1893 0 -24388 -31435 -23179 -42936 -47280 -67049 71  
69 1059 1061 1061 1247 -7 -9 34706 45779 0 -42529 -20330 17092 -89416 -58610 50038 71  
70 1059 1122 1050 1298 -12 -1 58439 5233 0 -28651 -5976 41228 -94008 -12597 142694 71  
71 1187 1052 1056 1094 -18 0 86973 -2706 0 -9948 -16369 -25572 -75440 5152 -56931 71  
72 1067 1160 1059 1051 -10 0 51752 -2519 0 71589 42334 1473 47276 46730 17050 71  
73 1050 1103 1063 1116 -1 -7 7046 33246 0 44741 23094 13029 25148 -32780 57003 71  
74 1050 1162 1076 1097 2 -9 -13579 46132 0 13576 5857 15137 60060 -30494 67623 71  
75 1050 1820 1050 1051 21 -13 -102712 65319 0 160544 115599 109800 333302 74020 363607 71  
76 1050 1520 1151 1110 50 -15 -239879 72826 0 78195 61125 54604 273653 -67862 260938 71  
77 1172 1050 1400 1062 40 -13 -192239 62019 0 -141128 -94479 -101209 -31982 -167475 -215595 71  
78 1299 1050 1299 1050 6 -6 -30766 28592 0 -125207 -85611 -94029 -86414 -86389 -250011 71  
79 1053 1117 1089 1081 0 -8 -1960 38833 0 22202 12031 5675 45252 -19802 29662 71  
80 1394 1050 1197 1224 -6 -7 31413 37793 0 -121933 -79513 -87210 -258714 -161211 -244521 71  
81 1671 1050 1130 1136 -47 -3 223966 18179 0 -177283 -103785 -112204 -352923 -77511 -346896 71  
82 1160 1316 1050 1093 -46 -1 220626 7146 0 98481 56979 63137 -9524 92087 113182 71  
83 1050 1515 1050 1206 -16 -5 77186 24039 0 165184 111134 110724 88844 65610 311910 71  
84 1072 1066 1066 1161 -3 -5 16393 24879 0 3375 490 3302 -45675 -49536 16583 71  
85 1062 1050 1189 1219 -6 -13 32119 63186 0 -17688 -42187 -9636 -43253 -154367 -27375 71  
86 1050 1209 1186 1307 -2 -44 11139 213339 0 75265 16838 49482 99899 -191712 156891 71  
87 1069 1050 1209 1267 3 -44 -15026 210539 0 -19970 7666 -15313 -50835 -189151 -21739 71  
88 1069 1050 1115 1163 -5 -23 23726 113633 0 -22814 8117 -6906 -32065 -89260 -7795 71  
89 1078 1050 1096 1119 -3 -16 16000 79206 0 -11673 4570 -11035 -32455 -51834 -21780 71  
90 1359 1156 1050 1050 -7 12 35652 -60499 0 -16856 59085 -19621 -52615 199600 -57431 71  
